URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,0.598286436,0.401713564,0.196572872,0.52138992,21.8,7.645259939,11.77810398,21.8,50,654,1.582568807,10,4.396024465
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,0.559348823,0.440651177,0.118697647,0.425532229,23.02439024,10.27542373,13.31992559,23.02439024,194,1888,1.74470339,20,4.855932203
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,0.549916992,0.450083008,0.099833985,0.425039928,24.2295082,13.66711773,15.15865037,24.2295082,202,1478,1.917456022,25,5.351150203
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,0.523120782,0.476879218,0.046241565,0.404251019,26.25,11.29251701,15.0170068,26.25,166,1470,1.843537415,14,5.204081633
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,0.55407987,0.44592013,0.10815974,0.484901154,23.25,8.113391984,12.54535679,23.25,83,1023,1.703812317,22,4.976539589
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,0.561500838,0.438499162,0.123001675,0.554111246,25.15053763,10.90209491,14.42105302,25.15053763,255,2339,1.845233006,34,5.305258658
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,0.545356378,0.454643622,0.090712755,0.451989374,20.76190476,7.033639144,11.11821756,20.76190476,92,1308,1.697247706,12,4.75382263
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,0.55494709,0.44505291,0.10989418,0.43426455,22.05769231,14.03661726,14.43772383,22.05769231,161,1147,1.939843069,10,5.388840453
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,0.542191759,0.457808241,0.084383518,0.418428485,21.79032258,13.10140637,13.95669158,21.79032258,177,1351,1.935603257,16,5.378238342
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,0.567058898,0.432941102,0.134117795,0.494211658,23.77647059,9.747649678,13.40964811,23.77647059,197,2021,1.715982187,48,4.817911925
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,0.549569825,0.450430175,0.09913965,0.396241034,25.23611111,10.84204733,14.43126338,25.23611111,197,1817,1.839295542,9,5.200330215
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,0.566447407,0.433552593,0.132894815,0.433460938,25.07142857,9.211775878,13.71328178,25.07142857,194,2106,1.765432099,36,5.08357075
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,0.554299276,0.445700724,0.108598552,0.578439153,31.68965517,9.902067465,16.63668905,31.68965517,91,919,1.749727965,10,4.991294886
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,0.543746939,0.456253061,0.087493878,0.449666142,20.1369863,6.93877551,10.83030472,20.1369863,102,1470,1.678911565,17,4.799319728
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,0.566351425,0.433648575,0.132702851,0.383704849,25.359375,7.332101047,13.07659042,25.359375,119,1623,1.723967961,28,5.001232286
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,0.566351425,0.433648575,0.132702851,0.383704849,25.359375,7.332101047,13.07659042,25.359375,119,1623,1.723967961,28,5.001232286
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,0.540433897,0.459566103,0.080867794,0.454395176,22.32835821,8.756684492,12.43401708,22.32835821,131,1496,1.733957219,17,4.935160428
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,0.548453838,0.451546162,0.096907676,0.31576715,29.97959184,8.509189925,15.3955127,29.97959184,125,1469,1.727025187,14,4.944179714
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,0.588649262,0.411350738,0.177298524,0.502368479,21.76,6.525735294,11.31429412,21.76,142,2176,1.681066176,69,4.784926471
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,0.581404321,0.418595679,0.162808642,0.440388007,28.3,6.124852768,13.76994111,28.3,52,849,1.581861013,28,4.564193168
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,0.510211124,0.489788876,0.020422247,0.547003686,26.27777778,8.66807611,13.97834156,26.27777778,123,1419,1.753347428,23,4.961945032
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,0.515267391,0.484732609,0.030534781,0.486678982,22.4375,8.774373259,12.4847493,22.4375,63,718,1.669916435,15,4.639275766
